"","title","release_date"
"12435","Grace is Gone","2007-01-21"
"12436","The Marksman","2005-01-01"
"12437","Gran Paradiso","2000-08-28"
"12438","Keeper of the Flame","1943-01-28"
"12439","The Emperor Waltz","1948-06-07"
"12440","Descent","2007-01-01"
"12441","College Road Trip","2008-03-07"
"12442","10,000 BC","2008-02-22"
"12443","The Bank Job","2008-02-28"
"12444","Doomsday","2008-03-14"
"12445","Horton Hears a Who!","2008-03-03"
"12446","Funny Games","2007-10-20"
"12447","The Counterfeiters","2007-02-09"
"12448","Mongol: The Rise of Genghis Khan","2007-09-20"
"12449","War Dance","2007-11-09"
"12450","The Love Guru","2008-06-20"
"12451","VeggieTales: The Pirates Who Don't Do Anything","2008-01-11"
"12452","Diary of the Dead","2007-09-08"
"12453","Hallam Foe","2007-02-16"
"12454","Penelope","2006-03-01"
"12455","City of Men","2007-08-31"
"12456","Chicago 10","2007-01-01"
"12457","Romulus, My Father","2007-05-19"
"12458","The Woman in White","1948-05-15"
"12459","Zeitgeist","2007-06-01"
"12460","Terkel in Trouble","2004-04-02"
"12461","Jellyfish","2007-05-05"
"12462","Justice League: The New Frontier","2008-02-26"
"12463","The District","2004-12-09"
"12464","The Hottest State","2006-09-02"
"12465","Then She Found Me","2007-09-07"
"12466","The Naked Island","1960-11-23"
"12467","Sigur Rós: Heima","2007-09-27"
"12468","What Just Happened","2008-10-17"
"12469","A Little Trip to Heaven","2005-12-26"
"12470","Downhill Racer","1969-11-06"
"12471","Saving Sarah Cain","2007-08-19"
"12472","Return of the Living Dead 3","1993-10-01"
"12473","Miss Pettigrew Lives for a Day","2008-03-07"
"12474","Snow Angels","2008-03-07"
"12475","Married Life","2007-09-12"
"12476","Believers","2007-06-11"
"12477","Sun Valley Serenade","1941-08-29"
"12478","Mala Noche","1986-02-05"
"12479","On the Outs","2004-09-11"
"12480","Stupid Boy","2004-03-10"
"12481","The Class","2007-03-16"
"12482","The Dark Knight","2008-07-16"
"12483","Doctor Bull","1933-09-22"
"12484","Made in U.S.A","1966-12-03"
"12485","Restless Natives","1985-01-01"
"12486","Quiet City","2007-03-12"
"12487","Phar Lap","1983-08-11"
"12488","51 Birch Street","2006-10-18"
"12489","Black Dawn","2005-01-01"
"12490","The Hammer","2007-04-01"
"12491","Never Back Down","2008-03-04"
"12492","Terror's Advocate","2007-06-06"
"12493","9 Star Hotel","2007-07-22"
"12494","Napoleon","1927-11-14"
"12495","CJ7","2008-01-30"
"12496","Drillbit Taylor","2008-03-20"
"12497","Dead Awake","2001-11-06"
"12498","Under the Same Moon","2008-03-20"
"12499","Tropical Malady","2005-04-29"
"12500","Slipstream","2007-02-10"
"12501","Terror of Mechagodzilla","1975-03-15"
"12502","The Smiling Lieutenant","1931-08-01"
"12503","Alatriste","2006-09-01"
"12504","Joysticks","1983-03-04"
"12505","Spirit Trap","2005-08-12"
"12506","The Promised Land","1975-02-21"
"12507","Youth Without Youth","2007-10-26"
"12508","Khadak","2006-08-31"
"12509","21","2008-03-27"
"12510","Smart People","2008-04-11"
"12511","Pierrepoint: The Last Hangman","2005-12-07"
"12512","The Hawk Is Dying","2007-03-30"
"12513","Le Bal","1983-12-21"
"12514","The Gymnast","2006-04-11"
"12515","The Shepherd: Border Patrol","2008-03-04"
"12516","Leatherheads","2008-03-24"
"12517","Assembly","2007-10-09"
"12518","Why Not?","1981-01-08"
"12519","Pirates","1986-05-08"
"12520","Zebraman","2004-01-30"
"12521","Marketa Lazarová","1967-11-24"
"12522","Stop-Loss","2008-03-28"
"12523","Shine a Light","2008-02-07"
"12524","Dark Matter","2007-01-23"
"12525","The Business of Being Born","2008-01-01"
"12526","Black Peter","1964-04-16"
"12527","The Aerial","2007-04-17"
"12528","Chan Is Missing","1982-01-01"
"12529","Close to Home","2005-07-15"
"12530","White Palms","2006-01-15"
"12531","Saawariya","2007-11-07"
"12532","Julia","2008-02-09"
"12533","I Always Wanted to Be a Gangster","2008-01-18"
"12534","Just Anybody","2008-04-02"
"12535","The Pope's Toilet","2007-05-21"
"12536","Inside","2007-06-13"
"12537","Nim's Island","2008-04-03"
"12538","The Ruins","2008-04-02"
"12539","Joy Division","2007-09-07"
"12540","Manda Bala (Send a Bullet)","2007-01-20"
"12541","Forgetting Sarah Marshall","2008-04-17"
"12542","Sex and Death 101","2007-06-15"
"12543","Superhero Movie","2008-03-27"
"12544","Street Kings","2008-04-10"
"12545","The Visitor","2007-09-07"
"12546","Harold & Kumar Escape from Guantanamo Bay","2008-04-25"
"12547","99 francs","2007-09-25"
"12548","Private Property","2006-09-01"
"12549","Speed Racer","2008-05-09"
"12550","Gabriel","2007-11-15"
"12551","Diminished Capacity","2008-07-04"
"12552","Nathalie...","2003-09-11"
"12553","Chapter 27","2007-01-25"
"12554","The Thief Who Came to Dinner","1973-03-01"
"12555","The Forbidden Kingdom","2008-04-18"
"12556","Where in the World Is Osama Bin Laden?","2008-01-21"
"12557","The Life Before Her Eyes","2007-09-08"
"12558","Puff, Puff, Pass","2006-05-09"
"12559","Pulp","1972-11-01"
"12560","Virgin Territory","2007-12-17"
"12561","Happy-Go-Lucky","2008-04-18"
"12562","Religulous","2008-10-01"
"12563","Outpost","2007-03-11"
"12564","Are You Scared?","2006-09-12"
"12565","Before Flying Back to Earth","2005-10-10"
"12566","Bernard and Doris","2006-09-01"
"12567","Son of Rambow","2007-01-22"
"12568","Super High Me","2007-10-13"
"12569","Black Friday","1940-04-12"
"12570","The Invisible Ray","1936-01-20"
"12571","Murders in the Rue Morgue","1932-02-21"
"12572","The Killer Elite","1975-12-19"
"12573","Tarzan Escapes","1936-11-06"
"12574","Tarzan Finds a Son!","1939-06-16"
"12575","Tarzan's Secret Treasure","1941-12-01"
"12576","Tarzan's New York Adventure","1942-05-01"
"12577","Viva Zapata!","1952-02-07"
"12578","Antares","2004-12-03"
"12579","Outsourced","2006-09-12"
"12580","Deception","2008-04-24"
"12581","Baby Mama","2008-04-23"
"12582","The Unknown Woman","2006-10-09"
"12583","Delirious","2006-09-26"
"12584","Klimt","2006-03-03"
"12585","Expelled: No Intelligence Allowed","2008-04-18"
"12586","Viva Cuba","2005-04-20"
"12587","Prom Night","2008-04-10"
"12588","The White Massai","2005-09-14"
"12589","Iron Man","2008-04-30"
"12590","Possessed","1999-06-25"
"12591","Made of Honor","2008-05-02"
"12592","Redbelt","2008-04-07"
"12593","Mister Lonely","2008-12-17"
"12594","Anamorph","2007-09-21"
"12595","The Bread, My Sweet","2001-04-21"
"12596","Taken","2008-02-18"
"12597","Hero Wanted","2008-03-28"
"12598","Flight of the Red Balloon","2007-05-17"
"12599","The Fall","2008-01-03"
"12600","Stargate: The Ark of Truth","2008-03-11"
"12601","Walk All Over Me","2007-01-01"
"12602","Blind Dating","2006-07-28"
"12603","Meet Bill","2007-09-07"
"12604","An American Crime","2007-07-27"
"12605","What Happens in Vegas","2008-05-07"
"12606","White Night","2007-10-26"
"12607","American Pie Presents: Beta House","2007-12-10"
"12608","Numb","2007-04-30"
"12609","Bella","2006-09-09"
"12610","Fiorile","1993-06-06"
"12611","The Man Between","1953-11-18"
"12612","The Stars Look Down","1940-01-22"
"12613","The Unknown Soldier","2006-09-21"
"12614","a/k/a Tommy Chong","2006-06-14"
"12615","The Chronicles of Narnia: Prince Caspian","2008-05-15"
"12616","Reprise","2006-07-03"
"12617","The Window","1949-08-06"
"12618","The Ron Clark Story","2006-08-13"
"12619","Shelter","2007-06-16"
"12620","American Crude","2008-06-03"
"12621","Young @ Heart","2008-10-02"
"12622","War, Inc.","2008-04-28"
"12623","The Year of the Wolf","2007-12-05"
"12624","The Girl Next Door","2007-07-19"
"12625","King Corn","2007-10-12"
"12626","Indiana Jones and the Kingdom of the Crystal Skull","2008-05-21"
"12627","How to Rob a Bank","2007-01-25"
"12628","Hey Hey It's Esther Blueburger","2008-04-10"
"12629","The Quiet American","1958-02-08"
"12630","Blonde and Blonder","2008-01-18"
"12631","Wesley Willis: The Daddy of Rock 'n' Roll","2003-04-22"
"12632","Patti Smith: Dream of Life","2008-01-01"
"12633","Day of the Outlaw","1959-07-01"
"12634","Nina's Heavenly Delights","2006-09-28"
"12635","Following Sean","2006-05-05"
"12636","One Hour with You","1932-03-22"
"12637","Lake of Fire","2006-09-09"
"12638","The Witnesses","2007-03-07"
"12639","The Oxford Murders","2008-01-18"
"12640","Shutter","2008-03-21"
"12641","The Grand","2007-06-07"
"12642","Sex and the City","2008-05-12"
"12643","The Strangers","2008-05-29"
"12644","Savage Grace","2007-05-18"
"12645","Bigger Stronger Faster*","2008-05-30"
"12646","All the Boys Love Mandy Lane","2008-02-15"
"12647","Memories of Matsuko","2006-01-01"
"12648","Allan Quatermain and the Temple of Skulls","2008-04-29"
"12649","Kung Fu Panda","2008-06-04"
"12650","What Would Jesus Buy?","2007-03-11"
"12651","Extreme Private Eros: Love Song 1974","1974-01-01"
"12652","The Emperor's Naked Army Marches On","1987-08-01"
"12653","Antonio das Mortes","1969-05-20"
"12654","Recount","2008-05-28"
"12655","Ex Drummer","2007-01-31"
"12656","The Art of Crying","2007-03-17"
"12657","Where the Sidewalk Ends","1950-07-07"
"12658","100 Rifles","1969-03-26"
"12659","Blood Alley","1955-10-01"
"12660","Chato's Land","1972-01-01"
"12661","Cold Sweat","1970-12-18"
"12662","The FBI Story","1959-10-01"
"12663","Farewell, Friend","1968-08-14"
"12664","The Iron Mask","1929-02-21"
"12665","St. Ives","1976-08-01"
"12666","Villa Rides","1968-05-29"
"12667","The Wings of Eagles","1957-02-22"
"12668","Steamboat Round the Bend","1935-09-06"
"12669","The World Moves On","1934-06-27"
"12670","Pilgrimage","1933-07-12"
"12671","Lonelyhearts","1958-01-01"
"12672","The Andromeda Strain","2008-05-10"
"12673","Boat People","1982-10-13"
"12674","Wrong Move","1975-01-01"
"12675","Dust in the Wind","1986-01-01"
"12676","You Don't Mess with the Zohan","2008-06-05"
"12677","The Prefab People","1982-12-09"
"12678","The Promotion","2008-06-06"
"12679","When Did You Last See Your Father?","2007-10-05"
"12680","My Brother Is an Only Child","2007-04-20"
"12681","Stuck","2007-05-21"
"12682","July Rhapsody","2002-03-14"
"12683","Flesh Gordon","1974-07-30"
"12684","Telefon","1977-12-16"
"12685","The Lost World","1960-07-13"
"12686","The Mark of Zorro","1920-12-05"
"12687","The Protector","1985-07-11"
"12688","The Three Musketeers","1921-08-28"
"12689","Warlock","1959-06-10"
"12690","The Fiances","1963-05-16"
"12691","Il Posto","1961-09-21"
"12692","Chaos Theory","2008-03-14"
"12693","The Boys & Girls Guide to Getting Down","2007-03-23"
"12694","Boy A","2007-10-28"
"12695","Doctor Who","1996-03-31"
"12696","A Complete History of My Sexual Failures","2008-01-19"
"12697","The Warlords","2007-12-12"
"12698","Spiral","2007-01-01"
"12699","Hounddog","2007-01-22"
"12700","The Happening","2008-06-11"
"12701","The Incredible Hulk","2008-06-12"
"12702","Baghead","2008-01-21"
"12703","The Children of Huang Shi","2008-07-03"
"12704","Quill:  The Life of a Guide Dog","2004-03-13"
"12705","WALL·E","2008-06-22"
"12706","Wanted","2008-06-19"
"12707","Hancock","2008-07-01"
"12708","Boy Culture","2007-01-31"
"12709","Ten Minutes Older: The Trumpet","2002-05-18"
"12710","Angel Face","1952-12-10"
"12711","Huckleberry Finn","1974-05-24"
"12712","Tom Sawyer","1973-01-01"
"12713","Turn the River","2008-05-09"
"12714","Get Smart","2008-06-19"
"12715","Young People Fucking","2007-09-05"
"12716","Brick Lane","2007-11-16"
"12717","Surfwise","2007-01-01"
"12718","The Rape of Europa","2006-01-01"
"12719","St. Trinian's","2007-12-21"
"12720","The Penalty","1920-08-15"
"12721","Crossed Tracks","2007-06-27"
"12722","Desire","1936-04-11"
"12723","Futurama: The Beast with a Billion Backs","2008-06-24"
"12724","Equinox","1970-10-01"
"12725","At the Death House Door","2008-03-09"
"12726","Archangel","1990-09-01"
"12727","Battlefield Baseball","2003-07-19"
"12728","The Hourglass Sanatorium","1973-12-11"
"12729","The Color of Pomegranates","1969-10-01"
"12730","David Cross: Let America Laugh","2003-11-04"
"12731","West of Zanzibar","1928-11-24"
"12732","Tell It to the Marines","1926-12-23"
"12733","The Unholy Three","1925-09-16"
"12734","The Unholy Three","1930-07-03"
"12735","London After Midnight","1927-12-17"
"12736","Dog Day","1984-01-10"
"12737","The Klansman","1974-10-25"
"12738","Pocket Money","1972-01-01"
"12739","The Goddess","1960-02-19"
"12740","Bambi II","2006-01-26"
"12741","Gunnin' for That #1 Spot","2008-04-18"
"12742","Finding Amanda","2008-09-16"
"12743","Kit Kittredge: An American Girl","2008-07-02"
"12744","Gonzo: The Life and Work of Dr. Hunter S. Thompson","2008-07-04"
"12745","The Wackness","2008-07-03"
"12746","Up the Yangtze","2007-09-30"
"12747","Get Well Soon","2001-12-20"
"12748","Strange Circus","2005-12-24"
"12749","Along Came Jones","1945-07-19"
"12750","The Black Swan","1942-12-04"
"12751","Cheyenne Autumn","1964-10-03"
"12752","Hour of the Gun","1967-11-01"
"12753","Sleepwalking","2008-01-14"
"12754","Encounters at the End of the World","2007-09-01"
"12755","Mauvais Sang","1986-11-26"
"12756","Dante 01","2008-01-02"
"12757","Standard Operating Procedure","2008-02-12"
"12758","Wee Willie Winkie","1937-07-30"
"12759","A Page of Madness","1926-09-24"
"12760","Two Women","1999-01-01"
"12761","Zombie Strippers!","2008-04-18"
"12762","Frosty the Snowman","1969-12-07"
"12763","White Light/Black Rain: The Destruction of Hiroshima and Nagasaki","2007-08-06"
"12764","Roman Polanski: Wanted and Desired","2008-01-18"
"12765","Z Channel: A Magnificent Obsession","2004-05-16"
"12766","Battle For Haditha","2007-09-11"
"12767","Alexandra","2007-09-26"
"12768","Transylvania","2006-09-09"
"12769","Mamma Mia!","2008-07-03"
"12770","Ganes","2007-09-28"
"12771","Welcome to the Sticks","2008-01-09"
"12772","The Pornographers","1966-03-12"
"12773","Kabluey","2007-06-25"
"12774","The Stone Angel","2007-09-12"
"12775","Honeydripper","2007-09-10"
"12776","Summer '04","2006-10-11"
"12777","The Home of Dark Butterflies","2008-01-10"
"12778","Dark Floors","2008-02-06"
"12779","Silentium","2004-01-01"
"12780","Rogue","2007-11-08"
"12781","The Violin","2005-03-11"
"12782","Sublime","2007-06-15"
"12783","Towelhead","2008-09-12"
"12784","No Regrets for Our Youth","1946-10-29"
"12785","It's the Great Pumpkin, Charlie Brown","1966-10-27"
"12786","Lost Islands","2008-07-03"
"12787","Borderline","1950-03-01"
"12788","Katyn","2007-09-21"
"12789","Pan Tadeusz","1999-10-18"
"12790","Journey to the Center of the Earth","2008-07-10"
"12791","Meet Dave","2008-07-08"
"12792","The Machine Girl","2008-02-07"
"12793","August","2008-05-16"
"12794","Death Defying Acts","2007-09-13"
"12795","Water Lilies","2007-05-17"
"12796","Shrooms","2007-08-16"
"12797","Manslaughter","2005-08-26"
"12798","The Bench","2000-08-26"
"12799","Breath","2007-04-26"
"12800","Just Another Love Story","2007-08-22"
"12801","The Substitute","2007-03-13"
"12802","Next Door","2005-03-10"
"12803","Chinese Roulette","1976-11-16"
"12804","Heartbeat Detector","2007-09-12"
"12805","Flakes","2007-01-01"
"12806","Death Note","2006-06-17"
"12807","A Majority of One","1961-12-27"
"12808","Moving McAllister","2007-09-13"
"12809","The Tall T","1957-04-02"
"12810","Music Within","2007-01-05"
"12811","Transsiberian","2008-01-18"
"12812","Space Chimps","2008-07-17"
"12813","The Last Mistress","2007-05-30"
"12814","Jimmy Carter Man from Plains","2007-10-26"
"12815","Stargate: Continuum","2008-07-29"
"12816","Watchmen","2009-03-05"
"12817","Bravo Two Zero","1999-10-07"
"12818","Conspiracy","2008-02-15"
"12819","War Games: The Dead Code","2008-07-29"
"12820","Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland","2006-09-08"
"12821","Steal a Pencil for Me","2007-01-01"
"12822","Shotgun Stories","2007-10-01"
"12823","Watching the Detectives","2007-05-01"
"12824","Mr. Untouchable","2007-10-25"
"12825","Blast of Silence","1961-03-31"
"12826","Felon","2008-07-17"
"12827","Step Brothers","2008-07-25"
"12828","Brideshead Revisited","2008-07-25"
"12829","The X Files: I Want to Believe","2008-07-24"
"12830","American Teen","2008-07-25"
"12831","Man on Wire","2008-07-25"
"12832","CSNY/Déjà Vu","2008-01-25"
"12833","The Little Drummer Boy","1968-12-19"
"12834","The Little Mermaid II: Return to the Sea","2000-08-30"
"12835","The Colour of Magic","2008-03-23"
"12836","Hogfather","2006-12-18"
"12837","Mulberry Street","2006-05-23"
"12838","Lost in Beijing","2007-02-16"
"12839","Pathology","2008-04-11"
"12840","Love & Pop","1998-09-01"
"12841","The Tracey Fragments","2007-02-08"
"12842","The Family Game","1983-05-04"
"12843","The Zone","2007-09-01"
"12844","Blindsight","2006-09-11"
"12845","The Edge of Love","2008-05-15"
"12846","The Godless Girl","1929-03-31"
"12847","Heart of a Dog","1988-01-01"
"12848","Bonneville","2006-09-11"
"12849","Frozen City","2006-11-11"
"12850","The Mummy: Tomb of the Dragon Emperor","2008-07-01"
"12851","Swing Vote","2008-08-01"
"12852","The Midnight Meat Train","2008-08-07"
"12853","Frozen River","2008-08-01"
"12854","Sixty Six","2006-01-01"
"12855","Bottle Shock","2008-08-06"
"12856","Vicky Cristina Barcelona","2008-08-15"
"12857","Batman: Gotham Knight","2008-07-03"
"12858","Fist of the North Star","1986-03-08"
"12859","Eve and the Fire Horse","2005-09-09"
"12860","The End of Summer","1961-10-29"
"12861","A Moment to Remember","2004-11-05"
"12862","Year of the Gun","1991-09-10"
"12863","In Paris","2006-10-04"
"12864","The Walker","2007-02-13"
"12865","Gigantics","1999-09-30"
"12866","Peppermint Candy","1999-12-31"
"12867","Pineapple Express","2008-08-06"
"12868","Red Cliff","2008-07-10"
"12869","The World's Greatest Lover","1977-12-18"
"12870","WΔZ","2007-05-19"
"12871","Silent Light","2007-10-02"
"12872","The Take","2007-01-01"
"12873","Expired","2007-01-19"
"12874","The Sisterhood of the Traveling Pants 2","2008-08-06"
"12875","Hell Ride","2008-08-08"
"12876","Elegy","2008-08-08"
"12877","The Good Humor Man","2008-02-19"
"12878","Bomb It","2007-04-27"
"12879","Still Life","2007-07-20"
"12880","Bathory: Countess of Blood","2008-07-04"
"12881","Quid Pro Quo","2008-06-13"
"12882","Black Caesar","1973-02-07"
"12883","High School Musical 2","2007-08-17"
"12884","Tropic Thunder","2008-08-09"
"12885","The Objective","2008-04-28"
"12886","Star Wars: The Clone Wars","2008-08-05"
"12887","Henry Poole Is Here","2008-08-15"
"12888","In the City of Sylvia","2007-09-14"
"12889","Mutant Chronicles","2008-08-07"
"12890","13 Beloved","2006-10-04"
"12891","Waltz with Bashir","2008-06-25"
"12892","Let the Right One In","2008-01-26"
"12893","Hamlet 2","2008-01-21"
"12894","Death Race","2008-08-22"
"12895","The House Bunny","2008-08-22"
"12896","The Longshots","2008-08-22"
"12897","The Rocker","2008-08-20"
"12898","I.O.U.S.A.","2008-01-19"
"12899","Mirrors","2008-08-15"
"12900","A Girl Cut in Two","2007-08-08"
"12901","Fly Me to the Moon","2008-08-15"
"12902","Trumbo","2007-09-10"
"12903","Variety Lights","1950-12-06"
"12904","Path to War","2002-01-01"
"12905","Sukiyaki Western Django","2007-09-15"
"12906","American Zombie","2007-01-18"
"12907","Noise","2008-05-09"
"12908","Return to House on Haunted Hill","2007-10-03"
"12909","Feed","2005-05-11"
"12910","Somers Town","2008-08-22"
"12911","Burn After Reading","2008-09-05"
"12912","Disaster Movie","2008-08-29"
"12913","Babylon A.D.","2008-08-20"
"12914","Traitor","2008-08-23"
"12915","College","2008-08-28"
"12916","Trouble the Water","2008-01-20"
"12917","The Women","2008-09-12"
"12918","The Woman in Black","1989-12-24"
"12919","The Onion Movie","2008-05-31"
"12920","Sergeant Rutledge","1960-05-18"
"12921","The Mother of Tears","2007-09-06"
"12922","The Spirit","2008-12-25"
"12923","John Adams","2008-03-16"
"12924","Tobacco Road","1941-02-20"
"12925","Oh! What a Lovely War","1969-03-10"
"12926","The Burning Plain","2008-07-11"
"12927","The Seventh Cross","1944-07-24"
"12928","Bangkok Dangerous","2008-08-21"
"12929","Everybody Wants to Be Italian","2007-09-18"
"12930","The Boys in Company C","1978-02-02"
"12931","A Secret","2007-10-03"
"12932","August Evening","2007-06-21"
"12933","Flash Point","2007-07-26"
"12934","The Fifth Commandment","2008-08-21"
"12935","The Subtenant","2008-09-12"
"12936","The Jammed","2007-01-01"
"12937","Pu-239","2006-01-01"
"12938","Sunflower","2005-09-10"
"12939","Son of Lassie","1945-01-01"
"12940","Flu Bird Horror","2008-08-23"
"12941","Dark Blue Almost Black","2006-03-24"
"12942","The Foot Fist Way","2006-06-24"
"12943","Altered","2006-01-01"
"12944","Thieves","2007-08-08"
"12945","Righteous Kill","2008-09-11"
"12946","Lakeview Terrace","2008-09-19"
"12947","To Rob a Thief","2007-08-31"
"12948","Shadows in Paradise","1986-10-16"
"12949","Ghost Town","2008-09-19"
"12950","Maradona by Kusturica","2008-05-20"
"12951","Accused","2005-01-28"
"12952","Import/Export","2007-05-21"
"12953","The Crow IV: Wicked Prayer","2005-05-13"
"12954","In Bed","2005-08-03"
"12955","Jam","2007-07-03"
"12956","Africa, Goodbye","1966-02-11"
"12957","Private Parts","1972-09-01"
"12958","Freebie and the Bean","1974-12-25"
"12959","Sawdust and Tinsel","1953-09-14"
"12960","Humboldt County","2008-01-01"
"12961","100 Feet","2008-07-22"
"12962","Boot Camp","2008-02-07"
"12963","On the Beach","2000-05-28"
"12964","An Autumn Afternoon","1962-11-18"
"12965","Moonbase","1997-12-06"
"12966","Appaloosa","2008-09-12"
"12967","Miracle at St. Anna","2008-09-15"
"12968","So Normal","2003-10-23"
"12969","The Steamroller and the Violin","1961-12-30"
"12970","Dead Fury","2008-08-05"
"12971","Tears of April","2008-08-29"
"12972","Zuzu Angel","2006-08-04"
"12973","1984","1956-03-06"
"12974","Home Among Strangers, a Stranger Among His Own","1974-11-11"
"12975","Dead Man's Letters","1986-12-12"
"12976","Eagle Eye","2008-09-25"
"12977","How to Lose Friends & Alienate People","2008-10-02"
"12978","Six Shooter","2004-01-01"
"12979","Nights in Rodanthe","2008-09-26"
"12980","Look Back in Anger","1959-05-28"
"12981","Nick and Norah's Infinite Playlist","2008-10-03"
"12982","The Secrets","2007-06-14"
"12983","Marjoe","1972-07-24"
"12984","Martyrs","2008-09-03"
"12985","Supermarket Woman","1996-06-15"
"12986","Sound of the Mountain","1954-01-15"
"12987","Sexo, Amor e Traição","2004-01-02"
"12988","Red","2008-10-07"
"12989","Part of the Weekend Never Dies","2008-04-24"
"12990","The Music Room","1958-10-10"
"12991","Gomorrah","2008-05-16"
"12992","The Funeral","1984-11-17"
"12993","The Accidental Husband","2008-02-29"
"12994","KM 31: Kilometer 31","2006-10-19"
"12995","The Duchess","2008-09-05"
"12996","Alone in the Dark 2","2008-09-01"
"12997","The Tulse Luper Suitcases, Part 1: The Moab Story","2003-05-24"
"12998","Dead Leaves","2004-01-16"
"12999","The Wrong Man","1993-09-05"
"13000","Rachel Getting Married","2008-10-03"
"13001","Body of Lies","2008-10-10"
"13002","City of Ember","2008-10-07"
"13003","Magicians","2007-05-18"
"13004","20,000 Leagues Under the Sea","1916-12-24"
"13005","Ace High","1968-10-02"
"13006","Autism: The Musical","2007-01-01"
"13007","Max Payne","2008-10-15"
"13008","The Pool","2008-09-03"
"13009","Zack and Miri Make a Porno","2008-09-18"
"13010","W.","2008-10-17"
"13011","My Best Friend's Girl","2008-09-19"
"13012","Family Life","1971-12-01"
"13013","Adios Sabata","1970-09-30"
"13014","Synecdoche, New York","2008-10-24"
"13015","Come to the Stable","1949-01-01"
"13016","The Drowning Pool","1975-07-01"
"13017","The Secret Life of Bees","2008-09-17"
"13018","Flash of Genius","2008-09-07"
"13019","An American Carol","2008-10-03"
"13020","The Banishment","2007-06-01"
"13021","The Wave","2008-03-11"
"13022","Two Worlds","2007-11-21"
"13023","Tokyo-Ga","1985-04-26"
"13024","Black River","1957-10-23"
"13025","Fallout","1998-01-01"
"13026","Angus, Thongs and Perfect Snogging","2008-07-25"
"13027","Bad Eggs","2003-07-24"
"13028","The Family That Preys","2008-09-12"
"13029","The Flight Before Christmas","2008-09-22"
"13030","Quarantine","2008-10-10"
"13031","Typhoon Club","1985-08-31"
"13032","Black Moon","1975-09-24"
"13033","My Sons","1991-10-12"
"13034","Lost Boys: The Tribe","2008-07-29"
"13035","Pride and Glory","2008-09-09"
"13036","Fifty Pills","2006-04-26"
"13037","The Express","2008-10-10"
"13038","Lone Wolf and Cub: Baby Cart to Hades","1972-08-01"
"13039","Lone Wolf and Cub: Baby Cart in Peril","1972-11-15"
"13040","Babylon 5: The Legend of the Rangers - To Live and Die in Starlight","2002-01-19"
"13041","Babylon 5: The Lost Tales - Voices in the Dark","2007-07-31"
"13042","The Love of Siam","2007-11-22"
"13043","RockNRolla","2008-09-04"
"13044","Zen Noir","2004-04-21"
"13045","High School Musical 3: Senior Year","2008-10-22"
"13046","The Wicked Lady","1945-11-15"
"13047","I Can Get it For You Wholesale","1951-04-05"
"13048","The Adventures of Huckleberry Finn","1939-02-10"
"13049","Resistance","2003-07-16"
"13050","Futurama: Bender's Game","2008-11-03"
"13051","Tin Man","2007-04-17"
"13052","Into the West","2005-06-10"
"13053","The Adventures of Tom Sawyer","1938-02-11"
"13054","Madagascar: Escape 2 Africa","2008-10-30"
"13055","Admiral","2008-06-06"
"13056","The Affairs of Anatol","1921-09-25"
"13057","Blindness","2008-05-14"
"13058","Changeling","2008-01-30"
"13059","Guinea Pig 2: Flower of Flesh and Blood","1985-10-07"
"13060","The Road","2009-11-25"
"13061","Slumdog Millionaire","2008-05-12"
"13062","Quantum of Solace","2008-10-30"
"13063","Filth and Wisdom","2008-02-13"
"13064","A Tale of Two Cities","1958-02-07"
"13065","Role Models","2008-02-03"
"13066","The Great K&A Train Robbery","1926-10-17"
"13067","Rockin' In The Rockies","1945-04-17"
"13068","Tokyo!","2008-05-14"
"13069","Tokyo Gore Police","2008-10-03"
"13070","Kozara","1962-05-15"
"13071","Sauna","2010-06-25"
"13072","Chaotic Ana","2007-08-24"
"13073","JCVD","2008-06-04"
"13074","Repast","1951-11-23"
"13075","Feiern","2006-06-06"
"13076","Happily Ever After","1990-06-20"
"13077","Cinderella","1997-11-02"
"13078","Gold Raiders","1951-09-09"
"13079","Slacker Uprising","2007-09-27"
"13080","Crows Zero","2007-10-26"
"13081","The Man Who Challenged the Devil","2007-09-28"
"13082","The Winning of Barbara Worth","1926-10-14"
"13083","The Whole Town's Talking","1935-02-22"
"13084","The War Lord","1965-11-17"
"13085","Krabat and the Legend of the Satanic Mill","2008-09-07"
"13086","Säg att du älskar mig","2006-08-25"
"13087","Christmas Story","2007-11-16"
"13088","The Guard Post","2008-04-03"
"13089","Every Stewardess Goes to Heaven","2002-03-21"
"13090","Goyokin","1969-05-01"
"13091","Camp Rock","2008-06-20"
"13092","Farscape: The Peacekeeper Wars","2004-01-01"
"13093","Saw V","2008-10-23"
"13094","A Christmas Tale","2008-05-16"
"13095","Critters 4","1992-08-20"
"13096","Restaurant","1998-04-18"
"13097","Sex Drive","2008-10-16"
"13098","Soul Men","2008-11-07"
"13099","While She Was Out","2008-10-27"
"13100","The Island","2006-11-23"
"13101","Beverly Hills Chihuahua","2008-10-03"
"13102","Half Moon","2006-09-01"
"13103","Purple Violets","2007-04-30"
"13104","Christmas on Mars","2008-11-11"
"13105","The Blue Hour","2007-01-01"
"13106","Fanny","1961-06-28"
"13107","The Free Will","2006-08-23"
"13108","Hanzo the Razor: Sword of Justice","1972-12-30"
"13109","Where a Good Man Goes","1999-05-06"
"13110","The Face of Another","1966-07-15"
"13111","The Gaucho","1927-11-21"
